Date Modified,Size,ArXiv Link,Title,Authors
Todayat 2:47PM,2.9MB,https://arxiv.org/abs/2409.00336,Tuning a PTA in the detection era,"Jeremy G. Baier, Jeffrey S. Hazboun, Joseph D. Romano"
Todayat 4:45PM,1.3MB,https://arxiv.org/abs/2409.01426,"Signatures of the speed of sound on the gravitational wave power
  spectrum from sound waves","Lorenzo Giombi, Jani Dahl, Mark Hindmarsh"
Todayat 2:53PM,2.7,https://arxiv.org/abs/2409.02886,"Exploring cosmological gravitational wave backgrounds through the
  synergy of LISA and ET","Alisha Marriott-Best, Debika Chowdhury, Anish Ghoshal, Gianmassimo Tasinato"
Todayat 4:48PM,5.8,https://arxiv.org/abs/2409.03651,Gravitational waves from decaying sources in strong phase transitions,"Chiara Caprini, Ryusuke Jinno, Thomas Konstandin, Alberto Roper Pol, Henrique Rubira et al."
Todayat 4:49PM,729KB,https://arxiv.org/abs/2409.04623,Gravitational baryogenesis in energy-momentum squared gravity,"David S. Pereira, Francisco S. N. Lobo, José Pedro Mimoso"
Todayat 4:52PM,2.3MB,https://arxiv.org/abs/2409.06599,"Self-consistent prediction of gravitational waves from cosmological
  phase transitions","Xiao Wang, Chi Tian, Csaba Balázs"
Todayat 4:54PM,538,https://arxiv.org/abs/2409.07063,"Conversion of high frequency relic gravitational waves into photons in
  cosmological magnetic field","L. A. Panasenko, A. O. Chetverikov"
Todayat 4:24PM,1.4MB_,https://arxiv.org/abs/2409.07955,Charting the Nanohertz Gravitational Wave Sky with Pulsar Timing Arrays,"Reginald Christian Bernardo, Kin-Wang Ng"
Todayat 4:25PM,1.3,https://arxiv.org/abs/2409.09023,"Primordial Stochastic Gravitational Wave Backgrounds from a Sharp
  Feature in Three-field Inflation II: The Inflationary Era","Vikas Aragam, Sonia Paban, Robert Rosati"
Todayat 4:56,PM,https://arxiv.org/abs/2409.09382,Gravitational Wave Birefringence in Symmetron Cosmology,"Ze-Xuan Xiong, Da Huang"
Todayat 4:57PM,2.4MB_,https://arxiv.org/abs/2409.11245,"Mapping Anisotropies in the Stochastic Gravitational-Wave Background
  with TianQin","Zhi-Yuan Li, Zheng-Cheng Liang, En-Kun Li, Jian-dong Zhang, Yi-Ming Hu"
Todayat 4:58,PM,https://arxiv.org/abs/2409.14505,"Gravitational waves from cosmological first-order phase transitions with
  precise hydrodynamics","Chi Tian, Xiao Wang, Csaba Balázs"
Todayat 4:36,PM,https://arxiv.org/abs/2409.14929,"Search for a Gravitational-Wave Background from Sound Speed Resonance
  from Advanced LIGO and Advanced Virgo's First Three Observing Runs","You Wu, Zu-Cheng Chen, Lang Liu"
Todayat 4:59,PM,https://arxiv.org/abs/2409.15572,CMB and energy conservation limits on nanohertz gravitational waves,"David Wright, John T. Giblin, Jeffrey Hazboun"
Todayat 5:00,PM,https://arxiv.org/abs/2409.17846,"Constraining string cosmology with the gravitational-wave background
  using the NANOGrav 15-year data set","Qin Tan, You Wu, Lang Liu"
Todayat 5:01PM,419KB,https://arxiv.org/abs/2409.19664,Gravitational Wave Astrophysics with TianQin: A brief progress review,Yi-Ming Hu
Todayat 4:43PM,9.8,https://arxiv.org/abs/2409.19665,Gravitational Wave Astronomy With TianQin,"En-Kun Li, Shuai Liu, Alejandro Torres-Orjuela, Xian Chen, Kohei Inayoshi et al."
Todayat 5:14PM,1.1MB,https://arxiv.org/abs/2410.03612,Resurrecting Gravitational Vector Modes and their Magnetogenesis,"Ali Rida Khalife, Cyril Pitrou"
Todayat 5:50PM,324,https://arxiv.org/abs/2410.03865,Gravitational Waves in a Perturbative Bianchi I Background,"Kevin J. Ludwick, Peter L. Williams"
Todayat 5:55PM,1.3MB,https://arxiv.org/abs/2410.11893,"Reconstructing inflationary potential from NANOGrav 15-year Data: A
  robust study using Non-Bunch Davies initial condition",Sayantan Choudhury
Todayat 5:29PM,2.1MB,https://arxiv.org/abs/2410.11944,Solving the PTA Data Analysis Problem with a Global Gibbs Scheme,"Nima Laal, Stephen R. Taylor, Rutger van Haasteren, William G Lamb, Xavier Siemens"
Todayat 5:32PM,1.1MB,https://arxiv.org/abs/2410.14664,"Stochastic gravitational wave background anisotropies from inflation
  with non-Bunch-Davies states","Shingo Akama, Shin'ichi Hirano, Shuichiro Yokoyama"
Todayat 5:38,PM,https://arxiv.org/abs/2410.17721,"Anisotropies of cosmological gravitational wave backgrounds in non-flat
  spacetime","Rong-Gen Cai, Shao-Jiang Wang, Zi-Yan Yuwen, Xiang-Xi Zeng"
Todayat 5:59PM,1.3MB,https://arxiv.org/abs/2410.20129,"Search for exotic gravitational wave signals beyond general relativity
  using deep learning","Yu-Xin Wang, Xiaotong Wei, Chun-Yue Li, Tian-Yang Sun, Shang-Jie Jin et al."
Todayat 6:00,PM,https://arxiv.org/abs/2410.21509,Gravitational Waves from Phase Transitions,"Djuna Croon, David J. Weir"
Todayat 6:01PM,521KB,https://arxiv.org/abs/2410.23666,"Growth of Gravitational Wave Spectrum from Sound Waves in a Universe
  with Generic Expansion Rate","Huai-Ke Guo, Jiahang Hu, Yang Xiao, Jin Min Yang, Yang Zhang"
Todayat 6:03,PM,https://arxiv.org/abs/2411.00532,"Cross-Correlating the Universe: The Gravitational Wave Background and
  Large-Scale Structure","Federico Semenzato, J. Andrew Casey-Clyde, Chiara M. F. Mingarelli, Alvise Raccanelli, Nicola Bellomo et al."
Todayat 6:18PM,29.1,https://arxiv.org/abs/2411.04189,"Gravitational Wave Production During Reheating: From the Inflaton to
  Primordial Black Holes","Mathieu Gross, Essodjolo Kpatcha, Yann Mambrini, Maria Olalla Olea-Romacho, Rishav Roshan"
Todayat 6:19PM,1.2,https://arxiv.org/abs/2411.04233,"Vacuum Amplification of Chiral Gravitational Waves and the Stochastic
  Gravitational Wave Background","Stephon Alexander, Heliudson Bernardo, Yiya Selina Li, Cooper Niu"
Todayat 6:12PM,678,https://arxiv.org/abs/2411.04854,"Lattice simulations of axion-U(1) inflation: gravitational waves,
  magnetic fields, and black holes","Ramkishor Sharma, Axel Brandenburg, Kandaswamy Subramanian, Alexander Vikman"
Todayat 6:20,PM,https://arxiv.org/abs/2411.06706,Gravitational Wave Propagation in Starobinsky Inflationary Model,Roger Anderson Hurtado
Todayat 6:21PM,1.4MB,https://arxiv.org/abs/2411.07164,"Gravitational wave propagation beyond General Relativity: geometric
  optic expansion and lens-induced dispersion","Nicola Menadeo, Miguel Zumalacárregui"
Todayat 6:21PM,5.5,https://arxiv.org/abs/2411.07313,Quantum Metrology for Gravitational Wave Astronomy,"Roman Schnabel, Nergis Mavalvala, David E. McClelland, Ping Koy Lam"
