Date Modified,Size,ArXiv Link,Title,Authors
"Oct 27, 2024 at 2:40PM",3.2 MB,https://arxiv.org/abs/2402.16781,"Can we distinguish the adiabatic fluctuations and isocurvature
  fluctuations with pulsar timing arrays?","Zu-Cheng Chen, Lang Liu"
"Oct 27, 2024 at 2:41PM",757 KB,https://arxiv.org/abs/2402.17312,Measuring kinematic anisotropies with pulsar timing arrays,"N. M. Jiménez Cruz, Ameek Malhotra, Gianmassimo Tasinato, Ivonne Zavala"
"Oct 27, 2024 at 2:25PM",1.9 MB,https://arxiv.org/abs/2403.03338,"Correlated scalar perturbations and gravitational waves from axion
  inflation","Sofia P. Corbà, Lorenzo Sorbo"
"Oct 27, 2024 at 6:27PM",1.4 MB,https://arxiv.org/abs/2403.04316,Testing scale-invariant inflation against cosmological data,"Chiara Cecchini, Mariaveronica De Angelis, William Giarè, Massimiliano Rinaldi, Sunny Vagnozzi"
"Oct 27, 2024 at 2:51PM",1 MB,https://arxiv.org/abs/2403.05626,"Leptogenesis, primordial gravitational waves, and PBH-induced reheating","Basabendu Barman, Suruj Jyoti Das, Md Riajul Haque, Yann Mambrini"
"Oct 27, 2024 at 6:30PM",1.6 MB,https://arxiv.org/abs/2403.05626,"Leptogenesis, primordial gravitational waves, and PBH-induced reheating","Basabendu Barman, Suruj Jyoti Das, Md Riajul Haque, Yann Mambrini"
"Oct 27, 2024 at 6:17PM",2 MB,https://arxiv.org/abs/2403.09089,Gravitational Wave Probe of Gravitational Dark Matter from Preheating,"Ruopeng Zhang, Sibo Zheng"
"Oct 27, 2024 at 6:20PM",557 KB,https://arxiv.org/abs/2403.09816,"Stochastic gravitational wave background generated by domain wall
  networks","D. Grüber, L. Sousa, P. P. Avelino"
"Oct 27, 2024 at 6:31PM",1.5 MB,https://arxiv.org/abs/2403.15126,"Gravitational Waves from Collapse of Pressureless Matter in the Early
  Universe","Ioannis Dalianis, Chris Kouvaris"
"Oct 27, 2024 at 6:39PM",537 KB,https://arxiv.org/abs/2403.20164,"A single-bubble source for gravitational waves in a cosmological phase
  transition","Kfir Blum, Mehrdad Mirbabayi"
"Oct 27, 2024 at 6:45PM",2.3 MB,https://arxiv.org/abs/2404.07075,"Constraints on Inflation with Null Energy Condition Violation from
  Advanced LIGO and Advanced Virgo's First Three Observing Runs","Zu-Cheng Chen, Lang Liu"
"Oct 27, 2024 at 7:10PM",1.5 MB,https://arxiv.org/abs/2404.08375,"Detecting a Gravitational-Wave Background from Inflation with Null
  Energy Condition Violation: Prospects for Taiji","Zu-Cheng Chen, Lang Liu"
"Oct 27, 2024 at 7:07PM",1.5 MB,https://arxiv.org/abs/2405.02960,"Silk Damping in Scalar-Induced Gravitational Waves: A Novel Probe for
  New Physics","Yan-Heng Yu, Sai Wang"
"Oct 27, 2024 at 7:12PM",776 KB,https://arxiv.org/abs/2405.06603,"Inflationary Gravitational Wave Spectral Shapes as test for Low-Scale
  Leptogenesis","Zafri A. Borboruah, Anish Ghoshal, Lekhika Malhotra, Urjit Yajnik"
"Oct 27, 2024 at 7:12PM",717 KB,https://arxiv.org/abs/2405.09599,"Gravitational wave spectrum from expanding string loops on domain walls:
  Implication for nanohertz pulsar timing array signal","Yu Hamada, Wakutaka Nakano"
"Oct 27, 2024 at 7:13PM",951 KB,https://arxiv.org/abs/2405.09620,Probing Reheating with Gravitational Waves from Graviton Bremsstrahlung,"Basabendu Barman, Nicolás Bernal, Simon Cléry, Yann Mambrini, Yong Xu et al."
"Oct 27, 2024 at 6:57PM",4.4 MB,https://arxiv.org/abs/2405.10937,Gravitational waves from low-scale cosmic strings,"Kai Schmitz, Tobias Schröder"
"Oct 27, 2024 at 7:15PM",555 KB,https://arxiv.org/abs/2405.11755,"Testing Gravity with Frequency-Dependent Overlap Reduction Function in
  Pulsar Timing Array","Qiuyue Liang, Ippei Obata, Misao Sasaki"
"Oct 27, 2024 at 7:57PM",453 KB,https://arxiv.org/abs/2406.02359,"Primordial gravitational wave backgrounds from phase transitions with
  next generation ground based detectors","Chiara Caprini, Oriol Pujolàs, Hippolyte Quelquejay-Leclere, Fabrizio Rompineve, Danièle A. Steer"
"Oct 27, 2024 at 7:59PM",1.8 MB,https://arxiv.org/abs/2406.04957,"Measuring the circular polarization of gravitational waves with pulsar
  timing arrays","N. M. Jiménez Cruz, Ameek Malhotra, Gianmassimo Tasinato, Ivonne Zavala"
"Oct 27, 2024 at 8:07PM",369 KB,https://arxiv.org/abs/2406.05081,Pulsar Timing Arrays require hierarchical models,Rutger van Haasteren
"Oct 27, 2024 at 8:09PM",3.2 MB,https://arxiv.org/abs/2406.10048,"The impact of a primordial gravitational wave background on LISA
  resolvable sources","Matteo Braglia, Mauro Pieroni, Sylvain Marsat"
"Oct 27, 2024 at 9:00PM",5.7 MB,https://arxiv.org/abs/2406.17053,"Revisiting evolution of domain walls and their gravitational radiation
  with CosmoLattice","I. Dankovsky, E. Babichev, D. Gorbunov, S. Ramazanov, A. Vikman"
"Oct 27, 2024 at 9:02PM",3.1 MB,https://arxiv.org/abs/2407.02714,Primordial Gravitational Waves 2024,Deng Wang
